상표,주유소명,주소,시군구,유종별 가격,부가정보
HD현대오일뱅크,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,강남구,"{'고급휘발유': '2,768원', '보통휘발유': '2,548원', '경유': '2,290원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
GS칼텍스,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),강남구,"{'고급휘발유': '2,860원', '보통휘발유': '2,620원', '경유': '2,580원', '실내등유': '1,850원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,방죽주유소,서울 강남구 밤고개로 215 (율현동),강남구,"{'보통휘발유': '1,737원', '경유': '1,609원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,일원주유소,서울 강남구 양재대로55길 3 (일원동),강남구,"{'보통휘발유': '1,778원', '경유': '1,657원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),강남구,"{'보통휘발유': '1,778원', '경유': '1,642원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,대청주유소,서울 강남구 개포로 654 (일원동),강남구,"{'보통휘발유': '2,266원', '경유': '2,096원', '실내등유': '1,869원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,방아다리주유소,서울 강동구 동남로 811 (명일동),강동구,"{'고급휘발유': '1,895원', '보통휘발유': '1,695원', '경유': '1,575원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),강동구,"{'고급휘발유': '1,934원', '보통휘발유': '1,824원', '경유': '1,694원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),강동구,"{'고급휘발유': '1,939원', '보통휘발유': '1,739원', '경유': '1,639원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,대성석유(주)길동주유소,서울 강동구 천호대로 1168,강동구,"{'고급휘발유': '1,965원', '보통휘발유': '1,766원', '경유': '1,628원', '실내등유': '1,600원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,(주)퍼스트오일 코알라주유소,서울특별시 강동구 올림픽로 556 (성내동),강동구,"{'고급휘발유': '1,970원', '보통휘발유': '1,810원', '경유': '1,690원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,(주)소모 신월주유소,서울 강동구 양재대로 1323,강동구,"{'고급휘발유': '1,976원', '보통휘발유': '1,776원', '경유': '1,648원', '실내등유': '1,500원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,sk해뜨는주유소,서울 강동구 상일로 132 (강일동),강동구,"{'고급휘발유': '1,999원', '보통휘발유': '1,789원', '경유': '1,639원', '실내등유': '1,600원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),강동구,"{'고급휘발유': '1,999원', '보통휘발유': '1,796원', '경유': '1,658원', '실내등유': '1,699원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
HD현대오일뱅크,구천면주유소,서울 강동구 구천면로 357 (암사동),강동구,"{'보통휘발유': '1,683원', '경유': '1,567원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구 천호대로 1246 (둔촌제2동),강동구,"{'보통휘발유': '1,685원', '경유': '1,569원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),강동구,"{'보통휘발유': '1,818원', '경유': '1,698원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,천호현대주유소,서울 강동구 천중로 67 (천호동),강동구,"{'보통휘발유': '1,938원', '경유': '1,793원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,광성주유소,서울 강동구 올림픽로 673 (천호동),강동구,"{'보통휘발유': '1,968원', '경유': '1,858원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
GS칼텍스,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),강북구,"{'고급휘발유': '1,849원', '보통휘발유': '1,669원', '경유': '1,525원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,(주)자연에너지 번동주유소,서울 강북구 한천로 963 (번동),강북구,"{'고급휘발유': '1,849원', '보통휘발유': '1,645원', '경유': '1,515원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
